method,scenario,ordered_pair_label,n_rows,metric_spearman_mean,metric_spearman_median,latent_spearman_mean,delta_spearman_mean,model_beats_metric_rate
nicp_correspondence,clean,crop__to__down8k,1,-0.080961,-0.080961,0.667637,0.748598,1.0
nicp_correspondence,clean,crop__to__noisy,1,-0.054712,-0.054712,0.736932,0.791644,1.0
nicp_correspondence,clean,crop__to__original,1,-0.041488,-0.041488,0.759814,0.801302,1.0
nicp_correspondence,clean,crop__to__remesh,1,0.018386,0.018386,0.658349,0.639964,1.0
nicp_correspondence,clean,crop__to__up60k,1,-0.05564,-0.05564,0.686665,0.742305,1.0
nicp_correspondence,clean,down8k__to__crop,1,0.038921,0.038921,0.692248,0.653327,1.0
nicp_correspondence,clean,down8k__to__noisy,1,0.336837,0.336837,0.793218,0.456381,1.0
nicp_correspondence,clean,down8k__to__original,1,0.350389,0.350389,0.780879,0.430491,1.0
nicp_correspondence,clean,down8k__to__remesh,1,0.290814,0.290814,0.795255,0.504441,1.0
nicp_correspondence,clean,down8k__to__up60k,1,0.359643,0.359643,0.803707,0.444064,1.0
nicp_correspondence,clean,noisy__to__crop,1,0.04335,0.04335,0.747472,0.704122,1.0
nicp_correspondence,clean,noisy__to__down8k,1,0.228151,0.228151,0.779347,0.551196,1.0
nicp_correspondence,clean,noisy__to__original,1,0.386921,0.386921,0.820523,0.433603,1.0
nicp_correspondence,clean,noisy__to__remesh,1,0.341341,0.341341,0.770576,0.429235,1.0
nicp_correspondence,clean,noisy__to__up60k,1,0.307604,0.307604,0.790981,0.483377,1.0
nicp_correspondence,clean,original__to__crop,1,0.084853,0.084853,0.770836,0.685982,1.0
nicp_correspondence,clean,original__to__down8k,1,0.238166,0.238166,0.772341,0.534175,1.0
nicp_correspondence,clean,original__to__noisy,1,0.347062,0.347062,0.822388,0.475326,1.0
nicp_correspondence,clean,original__to__remesh,1,0.365198,0.365198,0.761843,0.396646,1.0
nicp_correspondence,clean,original__to__up60k,1,0.319051,0.319051,0.786672,0.467621,1.0
nicp_correspondence,clean,remesh__to__crop,1,0.099939,0.099939,0.684899,0.584959,1.0
nicp_correspondence,clean,remesh__to__down8k,1,0.17755,0.17755,0.795735,0.618184,1.0
