scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,cpd_registered_chamfer
clean,0,same_subject,id0051,crop,id0051_GTready_crop,id0051,down8k,id0051_GTready_down8k,0.0,0.22554489970207214,0.005324310157448053,0.003925414755940437,0.10266645601675461,nan
clean,1,same_subject,id0051,crop,id0051_GTready_crop,id0051,noisy,id0051_GTready_noisy,0.0,0.22422580420970917,0.0015238705091178417,0.0008079426479525864,0.08795449412447648,nan
clean,2,same_subject,id0051,crop,id0051_GTready_crop,id0051,original,id0051_GTready_original,0.0,0.2344529628753662,0.0016430210089311004,0.0012469489593058825,0.08248338210569796,nan
clean,3,same_subject,id0051,crop,id0051_GTready_crop,id0051,remesh,id0051_GTready_remesh,0.0,0.2128399908542633,0.0031402679160237312,0.0031907225493341684,0.09881435779627556,nan
clean,4,same_subject,id0051,crop,id0051_GTready_crop,id0051,up60k,id0051_GTready_up60k,0.0,0.21879804134368896,0.0030842781998217106,0.002156707225367427,0.09959788126120994,nan
clean,5,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,noisy,id0051_GTready_noisy,0.0,0.16583414375782013,0.0018478126730769873,0.00151633913628757,0.09520421192395664,nan
clean,6,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,original,id0051_GTready_original,0.0,0.15370725095272064,0.0025774375535547733,0.0021102637983858585,0.09183789473168016,nan
clean,7,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,remesh,id0051_GTready_remesh,0.0,0.1694221794605255,0.0016901695635169744,0.0012172427959740162,0.09193810243440503,nan
clean,8,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,up60k,id0051_GTready_up60k,0.0,0.0724308043718338,0.0007424443028867245,0.0008716642623767257,0.09374697964778878,nan
clean,9,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,original,id0051_GTready_original,0.0,0.10148876160383224,0.00018883156008087099,0.000239582805079408,0.08607335820396961,nan
clean,10,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,remesh,id0051_GTready_remesh,0.0,0.21122688055038452,0.0015484660398215055,0.0005149879725649953,0.09537276737525893,nan
clean,11,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,up60k,id0051_GTready_up60k,0.0,0.15092773735523224,0.0007269465131685138,0.00022561447985935956,0.08614519967312306,nan
clean,12,same_subject,id0051,original,id0051_GTready_original,id0051,remesh,id0051_GTready_remesh,0.0,0.23393110930919647,0.002105835359543562,0.0003659419890027493,0.08819805729346401,nan
clean,13,same_subject,id0051,original,id0051_GTready_original,id0051,up60k,id0051_GTready_up60k,0.0,0.14691372215747833,0.001035151886753738,0.0006569381221197546,0.08819813272035329,nan
clean,14,same_subject,id0051,remesh,id0051_GTready_remesh,id0051,up60k,id0051_GTready_up60k,0.0,0.1367715299129486,0.0006086209905333817,0.00015698398055974394,0.09201554468136969,nan
clean,15,same_subject,id0059,crop,id0059_GTready_crop,id0059,down8k,id0059_GTready_down8k,0.0,0.24915271997451782,0.013019757345318794,0.010690657421946526,0.11797418304823326,nan
clean,16,same_subject,id0059,crop,id0059_GTready_crop,id0059,noisy,id0059_GTready_noisy,0.0,0.23549552261829376,0.0070272572338581085,0.006412949878722429,0.1009860877953498,nan
clean,17,same_subject,id0059,crop,id0059_GTready_crop,id0059,original,id0059_GTready_original,0.0,0.23214136064052582,0.007160580717027187,0.007395034655928612,0.1133930682755694,nan
