scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
mixed,0,same_subject,id0478,crop,id0478_GTready_crop,id0478,down8k,id0478_GTready_down8k,0.0,0.3095499873161316,0.003684014081954956,0.003317253664135933
mixed,1,same_subject,id0478,crop,id0478_GTready_crop,id0478,noisy,id0478_GTready_noisy,0.0,0.2886704206466675,0.001514830393716693,0.0015050866641104221
mixed,2,same_subject,id0478,crop,id0478_GTready_crop,id0478,original,id0478_GTready_original,0.0,0.2537861466407776,0.001663496601395309,0.0014665944036096334
mixed,3,same_subject,id0478,crop,id0478_GTready_crop,id0478,remesh,id0478_GTready_remesh,0.0,0.25252097845077515,0.0018744561821222305,0.0016038285102695227
mixed,4,same_subject,id0478,crop,id0478_GTready_crop,id0478,up60k,id0478_GTready_up60k,0.0,0.30609339475631714,0.001731822732836008,0.0016970776487141848
mixed,5,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.0,0.2867548167705536,0.0015023298328742385,0.001667330740019679
mixed,6,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,original,id0478_GTready_original,0.0,0.25936323404312134,0.0014128517359495163,0.0015237031038850546
mixed,7,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,remesh,id0478_GTready_remesh,0.0,0.24555851519107819,0.0016815809067338705,0.0015638780314475298
mixed,8,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.0,0.31671085953712463,0.0011809405405074358,0.0013510123826563358
mixed,9,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,original,id0478_GTready_original,0.0,0.3001795709133148,0.0007983379764482379,0.0008809133432805538
mixed,10,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,remesh,id0478_GTready_remesh,0.0,0.2639681100845337,0.0010068350238725543,0.001029495382681489
mixed,11,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,up60k,id0478_GTready_up60k,0.0,0.2570336163043976,0.000683343387208879,0.000758569804020226
mixed,12,same_subject,id0478,original,id0478_GTready_original,id0478,remesh,id0478_GTready_remesh,0.0,0.19143323600292206,0.0009397277608513832,0.0009660706273280084
mixed,13,same_subject,id0478,original,id0478_GTready_original,id0478,up60k,id0478_GTready_up60k,0.0,0.23202209174633026,0.0006473477114923298,0.0008178108837455511
mixed,14,same_subject,id0478,remesh,id0478_GTready_remesh,id0478,up60k,id0478_GTready_up60k,0.0,0.22251121699810028,0.0007870825938880444,0.0009230072028003633
mixed,15,same_subject,id0485,crop,id0485_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.0,0.2953081727027893,0.003619398921728134,0.003067579586058855
mixed,16,same_subject,id0485,crop,id0485_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.0,0.22959676384925842,0.0018182327039539814,0.0018052593804895878
