scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,cpd_registered_chamfer
translation,0,same_subject,id0051,crop,id0051_GTready_crop,id0051,down8k,id0051_GTready_down8k,0.0,0.23146632313728333,0.005399825982749462,0.003925413824617863,0.01044356171041727
translation,1,same_subject,id0051,crop,id0051_GTready_crop,id0051,noisy,id0051_GTready_noisy,0.0,0.22590741515159607,0.0015244977548718452,0.0008079414837993681,0.00854726042598486
translation,2,same_subject,id0051,crop,id0051_GTready_crop,id0051,original,id0051_GTready_original,0.0,0.232702374458313,0.0017436787020415068,0.0012115121353417635,0.0053932759910821915
translation,3,same_subject,id0051,crop,id0051_GTready_crop,id0051,remesh,id0051_GTready_remesh,0.0,0.21461038291454315,0.003123864997178316,0.0026781305205076933,0.01012219488620758
translation,4,same_subject,id0051,crop,id0051_GTready_crop,id0051,up60k,id0051_GTready_up60k,0.0,0.2282053679227829,0.003242362989112735,0.0021567069925367832,0.013742204755544662
translation,5,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,noisy,id0051_GTready_noisy,0.0,0.166563019156456,0.0018474676180630922,0.0015163386706262827,0.005327829159796238
translation,6,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,original,id0051_GTready_original,0.0,0.15679802000522614,0.0026472476311028004,0.001443278044462204,0.009580399841070175
translation,7,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,remesh,id0051_GTready_remesh,0.0,0.17592032253742218,0.0016028499230742455,0.001217242912389338,0.009658688679337502
translation,8,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,up60k,id0051_GTready_up60k,0.0,0.07245630770921707,0.000728757819160819,0.0008716639713384211,0.013620440848171711
translation,9,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,original,id0051_GTready_original,0.0,0.10421338677406311,0.00020764369401149452,0.00023958463862072676,0.007759620901197195
translation,10,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,remesh,id0051_GTready_remesh,0.0,0.2152193933725357,0.0014723541680723429,0.00048740056809037924,0.004052722826600075
translation,11,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,up60k,id0051_GTready_up60k,0.0,0.153253972530365,0.0007460956694558263,0.00022561452351510525,0.004274419974535704
translation,12,same_subject,id0051,original,id0051_GTready_original,id0051,remesh,id0051_GTready_remesh,0.0,0.2375166118144989,0.0022619832307100296,0.00038201926508918405,0.009877737611532211
translation,13,same_subject,id0051,original,id0051_GTready_original,id0051,up60k,id0051_GTready_up60k,0.0,0.15916216373443604,0.0011813505552709103,0.0006569368997588754,0.006133697461336851
translation,14,same_subject,id0051,remesh,id0051_GTready_remesh,id0051,up60k,id0051_GTready_up60k,0.0,0.1533229798078537,0.0005898823728784919,0.0003287959552835673,0.00869683176279068
translation,15,same_subject,id0059,crop,id0059_GTready_crop,id0059,down8k,id0059_GTready_down8k,0.0,0.25418439507484436,0.012799570336937904,0.010690657421946526,0.006832359358668327
translation,16,same_subject,id0059,crop,id0059_GTready_crop,id0059,noisy,id0059_GTready_noisy,0.0,0.23903898894786835,0.0070039075799286366,0.006412949413061142,0.003837541677057743
