scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.1659919040898482,0.1490801647305488,0.5127561709284782,0.4958103150129318,0.34676426683863,0.9977407407407408,0.7613966066436104,0.7703091544909056
clean,raw_chamfer,0.0032151349531583,0.0010625279392115,0.0067930700901585,0.0048385392874479,0.0035779351370001,0.7720370370370371,0.3680143018684024,0.3660026125882006
clean,rigid_registered_chamfer,0.0029169708379211,0.0007639605610165,0.0095624552374162,0.0043080348987132,0.0066454843994951,0.7820555555555555,0.385297937536166,-0.023838099249983
clean,nicp_correspondence,0.0925367674517219,0.0877015861939514,0.1040007666619354,0.0983978776016265,0.0114639992102134,0.6970185185185185,0.3203571659270888,0.0881475144495385
clean,cpd_registered_chamfer,,,,,,,,
translation,latent_distance,0.1712348402788241,0.1544279232621193,0.51602674305439,0.4977070689201355,0.3447919027755658,0.9972222222222222,0.7567065089555254,0.7668757265230579
translation,raw_chamfer,0.0031933895732638,0.0011566616012714,0.0067853424558416,0.0049873264506459,0.0035919528825777,0.7741481481481481,0.3668036027495455,0.3690833720826115
translation,rigid_registered_chamfer,0.0027795903640152,0.0007671829662285,0.0080393084018336,0.0044328477233648,0.0052597180378183,0.7848888888888889,0.3833313016258218,0.1689731973994937
translation,nicp_correspondence,0.0922922877088633,0.0876066452332561,0.1037774556278374,0.0987326881235255,0.011485167918974,0.7032407407407407,0.3255982684096746,0.2749225314210383
translation,cpd_registered_chamfer,,,,,,,,
